calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-12-18,8.7,15.5,3.7,0.0,8.2,,,,2.1,,,,,
2016-12-19,11.0,17.3,4.4,0.0,2.7,,,,1.1,,,,,
2016-12-20,13.1,18.5,10.6,1.0,1.2,,,,0.8,,,,,
2016-12-21,14.4,18.5,9.7,0.0,4.0,,,,1.5,,,,,
2016-12-22,15.1,19.4,11.3,11.5,0.0,,,,3.8,,,,,
2016-12-23,8.9,11.5,7.2,1.5,1.6,,,,4.1,,,,,
2016-12-24,8.9,11.4,7.4,0.0,5.3,,,,1.9,,,,,
2016-12-25,10.0,14.6,5.3,0.0,7.8,,,,1.9,,,,,
2016-12-26,12.3,15.7,9.7,26.0,0.0,,,,1.9,,,,,
2016-12-27,10.0,15.4,7.6,16.0,0.5,,,,3.9,,,,,
2016-12-28,6.5,9.3,4.7,6.5,2.9,,,,1.5,,,,,
2016-12-29,5.7,8.1,2.6,1.5,0.8,,,,2.2,,,,,
2016-12-30,5.1,10.1,0.8,0.0,7.7,,,,1.6,,,,,
2016-12-31,6.9,12.1,1.7,0.0,4.9,,,,2.5,,,,,
2017-01-01,7.4,13.1,3.4,0.0,6.2,,,,1.7,,,,,
2017-01-02,8.0,10.9,3.9,0.5,0.3,,,,2.3,,,,,
2017-01-03,9.2,13.8,5.3,0.0,8.3,,,,2.2,,,,,
2017-01-04,8.7,15.0,3.9,0.0,7.8,,,,2.0,,,,,
2017-01-05,8.7,12.4,5.2,0.0,1.9,,,,1.9,,,,,
2017-01-06,8.2,11.4,4.5,0.0,8.2,,,,1.3,,,,,
2017-01-07,6.7,10.3,1.5,4.0,1.6,,,,0.9,,,,,
2017-01-08,10.4,12.5,8.8,22.0,0.3,,,,1.1,,,,,
2017-01-09,9.9,12.4,6.3,4.5,1.2,,,,2.6,,,,,
2017-01-10,7.7,12.3,5.2,0.0,3.0,,,,2.5,,,,,
2017-01-11,5.8,7.8,3.0,0.0,3.6,,,,2.5,,,,,
2017-01-12,7.2,9.4,3.5,0.0,1.1,,,,2.8,,,,,
2017-01-13,7.2,8.7,5.5,0.0,5.7,,,,4.4,,,,,
2017-01-14,3.9,5.6,1.8,0.0,2.1,,,,4.5,,,,,
2017-01-15,2.7,5.1,0.7,0.0,4.5,,,,3.2,,,,,
2017-01-16,2.8,8.5,0.3,9.0,2.5,,,,2.2,,,,,
2017-01-17,4.7,10.6,0.0,0.0,6.0,,,,1.5,,,,,
2017-01-18,6.8,12.8,1.1,0.0,3.6,,,,1.1,,,,,
2017-01-19,8.4,12.4,5.8,0.0,4.6,,,,1.1,,,,,
2017-01-20,6.3,8.3,2.9,3.5,2.2,,,,4.7,,,,,
2017-01-21,5.9,9.6,1.6,0.5,6.2,,,,2.8,,,,,
2017-01-22,4.4,7.3,2.9,8.0,0.7,,,,3.4,,,,,
2017-01-23,2.6,4.1,1.2,0.0,1.5,,,,3.9,,,,,
2017-01-24,3.4,5.5,1.2,0.0,2.4,,,,2.6,,,,,
2017-01-25,3.0,8.8,-1.7,0.0,7.2,,,,2.1,,,,,
2017-01-26,5.3,11.5,-0.9,0.0,9.3,,,,2.2,,,,,
2017-01-27,8.2,13.0,3.9,0.5,2.4,,,,3.7,,,,,
2017-01-28,6.8,13.1,1.0,0.0,9.3,,,,1.3,,,,,
2017-01-29,10.0,16.7,3.6,14.5,0.5,,,,1.7,,,,,
2017-01-30,9.9,14.4,6.1,8.0,1.6,,,,3.6,,,,,
2017-01-31,6.9,10.2,4.8,0.0,7.4,,,,1.4,,,,,
2017-02-01,7.2,8.9,4.1,0.0,1.6,,,,2.7,,,,,
2017-02-02,5.5,9.9,0.7,0.0,9.7,,,,2.3,,,,,
2017-02-03,7.1,12.0,1.8,0.0,9.6,,,,2.2,,,,,
2017-02-04,10.1,16.1,4.1,0.5,4.9,,,,1.8,,,,,
2017-02-05,10.5,12.8,7.5,13.5,0.0,,,,2.9,,,,,
2017-02-06,7.8,9.7,6.6,0.0,4.4,,,,3.8,,,,,
2017-02-07,7.4,11.0,4.3,0.0,2.9,,,,1.6,,,,,
2017-02-08,6.8,11.0,4.1,5.0,0.9,,,,1.6,,,,,
2017-02-09,4.8,6.8,2.0,7.5,1.1,,,,3.8,,,,,
2017-02-10,2.5,3.6,-0.1,0.5,1.5,,,,4.4,,,,,
2017-02-11,2.5,5.5,0.1,1.5,2.4,,,,3.2,,,,,
2017-02-12,3.4,8.1,0.6,0.0,5.1,,,,2.4,,,,,
2017-02-13,4.8,9.2,0.4,0.0,7.2,,,,2.9,,,,,
2017-02-14,7.5,9.7,3.4,0.0,4.1,,,,2.5,,,,,
2017-02-15,7.3,13.2,1.8,0.0,10.0,,,,2.2,,,,,
2017-02-16,11.2,17.2,2.7,0.0,9.7,,,,3.7,,,,,
2017-02-17,13.9,17.2,10.4,3.0,0.9,,,,4.1,,,,,
2017-02-18,8.9,10.6,6.2,0.0,8.2,,,,3.8,,,,,
2017-02-19,7.9,13.8,1.0,0.0,9.9,,,,3.1,,,,,
2017-02-20,11.8,16.3,7.3,6.0,0.0,,,,4.8,,,,,
2017-02-21,6.9,9.7,3.0,0.0,5.5,,,,2.4,,,,,
2017-02-22,7.9,13.8,2.3,17.5,0.3,,,,1.7,,,,,
2017-02-23,9.7,13.4,7.7,3.0,1.3,,,,3.4,,,,,
2017-02-24,6.0,9.9,3.0,2.0,5.7,,,,2.1,,,,,
2017-02-25,5.9,10.1,1.1,0.0,4.6,,,,2.6,,,,,
2017-02-26,7.8,11.2,4.9,0.0,2.3,,,,2.0,,,,,
2017-02-27,7.3,13.0,2.0,0.0,9.4,,,,1.4,,,,,
2017-02-28,7.5,13.3,1.6,0.0,10.6,,,,1.5,,,,,
2017-03-01,7.8,15.1,2.3,0.0,5.3,,,,1.3,,,,,
2017-03-02,8.8,11.4,7.0,4.5,2.2,,,,3.8,,,,,
2017-03-03,8.3,12.9,5.2,0.0,9.2,,,,2.0,,,,,
2017-03-04,9.6,15.3,4.2,0.0,10.5,,,,1.8,,,,,
2017-03-05,9.9,15.0,4.6,0.0,0.9,,,,1.6,,,,,
2017-03-06,10.0,13.1,6.1,0.0,4.9,,,,2.9,,,,,
2017-03-07,6.7,8.9,4.5,3.5,4.6,,,,3.8,,,,,
2017-03-08,5.1,6.9,2.4,0.5,2.1,,,,3.2,,,,,
2017-03-09,8.4,11.4,6.1,0.0,5.4,,,,3.9,,,,,
2017-03-10,10.0,12.9,5.5,0.0,10.6,,,,2.9,,,,,
2017-03-11,8.5,14.8,2.4,0.0,10.1,,,,1.7,,,,,
2017-03-12,10.1,16.6,3.3,0.0,10.4,,,,1.5,,,,,
2017-03-13,10.8,13.5,9.0,0.0,0.0,,,,1.9,,,,,
2017-03-14,10.3,13.1,7.1,0.5,7.3,,,,2.4,,,,,
2017-03-15,8.7,11.5,6.4,2.5,3.8,,,,2.9,,,,,
2017-03-16,8.5,12.8,3.9,0.0,8.6,,,,1.8,,,,,
2017-03-17,8.4,14.9,2.7,0.0,6.6,,,,1.7,,,,,
2017-03-18,8.9,15.1,2.8,0.0,4.6,,,,1.4,,,,,
2017-03-19,11.4,17.8,4.4,0.0,10.3,,,,1.6,,,,,
2017-03-20,10.6,14.5,7.0,9.5,0.8,,,,2.2,,,,,
2017-03-21,10.5,13.8,8.5,12.0,2.0,,,,2.6,,,,,
2017-03-22,9.7,12.7,6.2,0.0,6.4,,,,1.6,,,,,
2017-03-23,10.5,15.9,7.2,0.0,3.3,,,,1.4,,,,,
2017-03-24,9.8,13.9,5.2,0.0,3.6,,,,1.6,,,,,
2017-03-25,9.7,13.2,7.1,0.0,4.5,,,,1.6,,,,,
2017-03-26,9.4,14.6,5.8,9.5,7.2,,,,1.8,,,,,
2017-03-27,9.0,12.2,6.2,4.0,3.8,,,,3.1,,,,,
2017-03-28,10.7,13.9,5.8,0.0,9.4,,,,2.5,,,,,
2017-03-29,11.2,15.0,8.3,3.0,0.9,,,,1.8,,,,,
2017-03-30,14.2,18.4,10.7,0.0,7.4,,,,1.7,,,,,
2017-03-31,9.6,13.3,8.0,12.0,0.0,,,,1.5,,,,,
2017-04-01,10.2,14.6,5.3,0.0,9.1,,,,1.5,,,,,
2017-04-02,8.6,11.6,5.8,18.0,2.2,,,,2.5,,,,,
2017-04-03,11.5,18.1,4.1,0.0,11.4,,,,3.2,,,,,
2017-04-04,13.9,21.2,6.4,0.0,11.4,,,,1.7,,,,,
2017-04-05,16.4,20.3,11.5,0.0,0.1,,,,2.1,,,,,
2017-04-06,16.6,19.3,14.6,12.0,0.0,,,,2.5,,,,,
2017-04-07,16.8,19.2,15.3,12.5,0.0,,,,0.8,,,,,
2017-04-08,18.1,22.5,16.1,3.0,0.2,,,,0.9,,,,,
2017-04-09,15.5,18.2,13.4,0.0,0.7,,,,2.0,,,,,
2017-04-10,12.1,13.7,10.4,9.5,0.0,,,,2.2,,,,,
2017-04-11,12.5,14.1,9.4,10.5,0.0,,,,2.3,,,,,
2017-04-12,13.3,17.6,9.6,0.0,9.5,,,,2.8,,,,,
2017-04-13,14.9,20.0,8.5,0.0,11.5,,,,3.3,,,,,
2017-04-14,18.3,24.2,11.6,0.0,11.9,,,,4.4,,,,,
2017-04-15,19.9,25.6,16.5,0.0,7.5,,,,3.0,,,,,
2017-04-16,20.5,27.5,16.3,0.0,8.8,,,,1.3,,,,,
2017-04-17,19.1,20.7,14.1,65.0,0.0,,,,3.1,,,,,
2017-04-18,17.7,22.8,13.6,1.5,7.6,,,,3.2,,,,,
2017-04-19,15.8,19.6,12.6,0.0,11.7,,,,3.6,,,,,
2017-04-20,15.1,19.0,11.4,0.0,0.0,,,,1.7,,,,,
2017-04-21,15.9,21.0,11.1,0.0,6.5,,,,1.6,,,,,
2017-04-22,15.5,19.6,11.2,0.0,12.0,,,,1.9,,,,,
2017-04-23,14.7,21.2,7.7,0.0,12.4,,,,1.7,,,,,
2017-04-24,17.4,23.7,9.0,0.0,12.2,,,,1.7,,,,,
2017-04-25,19.6,25.5,14.2,0.0,4.8,,,,1.3,,,,,
2017-04-26,15.7,19.4,14.3,48.0,0.0,,,,1.3,,,,,
2017-04-27,15.3,18.0,11.8,0.0,7.2,,,,1.7,,,,,
2017-04-28,16.4,22.5,8.8,0.0,12.3,,,,3.9,,,,,
2017-04-29,19.1,24.0,15.2,0.0,11.8,,,,4.0,,,,,
2017-04-30,21.2,28.1,16.7,0.0,12.1,,,,5.6,,,,,
2017-05-01,18.2,21.9,14.4,0.0,7.2,,,,3.5,,,,,
2017-05-02,18.4,24.0,12.0,0.0,8.5,,,,1.5,,,,,
2017-05-03,20.3,26.3,15.4,0.0,9.9,,,,2.1,,,,,
2017-05-04,20.8,24.4,18.0,0.0,7.9,,,,3.0,,,,,
2017-05-05,22.3,27.4,18.4,0.0,5.0,,,,1.8,,,,,
2017-05-06,19.5,21.9,17.0,1.0,4.9,,,,2.4,,,,,
2017-05-07,20.2,25.2,15.2,0.0,9.2,,,,3.8,,,,,
2017-05-08,21.2,26.5,17.2,0.0,8.7,,,,3.1,,,,,
2017-05-09,16.6,19.6,14.4,12.5,0.1,,,,2.4,,,,,
2017-05-10,17.8,20.7,15.6,0.5,0.2,,,,3.4,,,,,
2017-05-11,21.7,28.7,15.2,0.0,11.5,,,,5.3,,,,,
2017-05-12,19.5,24.0,15.4,26.0,0.1,,,,2.5,,,,,
2017-05-13,18.5,21.7,15.9,2.0,6.6,,,,1.7,,,,,
2017-05-14,20.3,25.2,16.7,0.0,10.4,,,,3.3,,,,,
2017-05-15,18.7,23.0,15.5,0.0,9.1,,,,3.0,,,,,
2017-05-16,17.9,22.6,15.2,0.0,5.1,,,,2.2,,,,,
2017-05-17,18.5,23.5,15.5,0.0,9.7,,,,1.8,,,,,
2017-05-18,19.5,25.5,13.7,0.0,13.1,,,,1.8,,,,,
2017-05-19,21.9,29.4,14.6,0.0,13.0,,,,2.4,,,,,
2017-05-20,22.1,28.4,17.1,0.0,11.4,,,,2.4,,,,,
2017-05-21,22.1,29.7,16.9,0.0,7.5,,,,1.7,,,,,
2017-05-22,22.2,28.1,16.1,0.0,12.8,,,,1.5,,,,,
2017-05-23,22.9,27.5,19.2,0.0,7.0,,,,1.7,,,,,
2017-05-24,20.8,22.3,19.2,2.0,0.0,,,,1.1,,,,,
2017-05-25,21.6,25.8,18.6,0.0,5.9,,,,1.7,,,,,
2017-05-26,18.6,21.8,15.1,0.0,8.0,,,,2.4,,,,,
2017-05-27,18.9,24.7,12.6,0.0,13.1,,,,1.8,,,,,
2017-05-28,20.9,27.2,13.9,0.0,12.3,,,,2.2,,,,,
2017-05-29,23.9,29.7,18.2,0.0,12.7,,,,2.9,,,,,
2017-05-30,24.6,29.8,18.2,0.0,11.8,,,,1.5,,,,,
2017-05-31,23.6,28.9,20.8,0.0,4.2,,,,1.5,,,,,
