calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-12-12,-4.0,0.0,-9.2,1.0,5.8,,,,2.7,,,,,
2016-12-13,-0.2,7.5,-8.6,0.0,3.5,,,,3.9,,,,,
2016-12-14,-1.9,0.0,-4.2,2.0,0.4,,,,1.6,,,,,
2016-12-15,-4.7,-1.9,-6.9,6.5,2.1,,,,2.7,,,,,
2016-12-16,-6.3,-1.8,-13.5,1.5,4.9,,,,1.4,,,,,
2016-12-17,-2.8,0.5,-6.1,0.0,3.3,,,,3.7,,,,,
2016-12-18,1.5,7.8,-6.8,0.0,5.3,,,,3.4,,,,,
2016-12-19,0.8,5.5,-6.6,0.0,8.1,,,,2.4,,,,,
2016-12-20,-1.1,3.6,-7.3,0.0,0.0,,,,2.3,,,,,
2016-12-21,2.7,4.0,0.9,0.0,0.5,,,,2.3,,,,,
2016-12-22,0.1,2.9,-1.1,29.5,0.0,,,,2.6,,,,,
2016-12-23,-1.2,0.4,-3.3,34.5,0.0,,,,3.2,,,,,
2016-12-24,-4.5,-2.3,-7.9,0.0,3.8,,,,2.9,,,,,
2016-12-25,-3.9,1.5,-9.6,0.0,6.7,,,,2.0,,,,,
2016-12-26,0.9,6.6,-3.4,12.5,1.9,,,,2.2,,,,,
2016-12-27,-2.3,0.4,-7.7,3.0,0.0,,,,,,,,,
2016-12-28,-6.9,-3.0,-11.4,0.5,0.6,,,,1.9,,,,,
2016-12-29,-4.0,-1.9,-5.7,3.0,0.0,,,,3.7,,,,,
2016-12-30,-2.6,-0.2,-5.0,0.5,4.8,,,,3.3,,,,,
2016-12-31,-2.1,-0.4,-3.5,0.5,0.8,,,,3.6,,,,,
2017-01-01,-2.7,1.7,-7.9,0.0,0.4,,,,0.9,,,,,
2017-01-02,-0.5,4.0,-4.3,0.0,2.5,,,,1.0,,,,,
2017-01-03,-1.3,0.6,-4.8,4.0,0.0,,,,1.0,,,,,
2017-01-04,-4.3,-1.1,-10.3,3.0,0.0,,,,,,,,,
2017-01-05,-4.6,-2.7,-11.2,2.0,1.2,,,,,,,,,
2017-01-06,-5.6,-2.8,-9.9,0.5,4.6,,,,1.7,,,,,
2017-01-07,-2.0,3.9,-9.2,0.0,3.4,,,,3.2,,,,,
2017-01-08,-3.3,0.2,-9.4,0.0,6.2,,,,3.2,,,,,
2017-01-09,-2.8,1.2,-10.2,0.5,0.0,,,,1.8,,,,,
2017-01-10,-4.4,-0.4,-9.9,0.0,2.2,,,,3.4,,,,,
2017-01-11,-8.6,-6.8,-10.0,0.0,2.8,,,,3.6,,,,,
2017-01-12,-8.6,-6.9,-10.5,1.5,0.0,,,,1.9,,,,,
2017-01-13,-7.9,-3.7,-13.7,1.5,3.1,,,,1.8,,,,,
2017-01-14,-8.1,-4.5,-14.5,0.0,4.5,,,,1.0,,,,,
2017-01-15,-7.0,-1.0,-14.2,3.0,1.4,,,,1.2,,,,,
2017-01-16,0.6,2.5,-1.9,0.0,0.1,,,,3.4,,,,,
2017-01-17,-3.3,-0.3,-11.6,0.0,0.7,,,,1.7,,,,,
2017-01-18,-4.1,-0.9,-9.3,5.0,0.1,,,,1.8,,,,,
2017-01-19,-3.2,0.3,-9.5,2.5,0.3,,,,1.5,,,,,
2017-01-20,-5.3,0.4,-13.1,1.5,1.6,,,,1.2,,,,,
2017-01-21,-5.6,-2.0,-15.3,0.0,1.5,,,,2.4,,,,,
2017-01-22,-7.0,-3.0,-12.8,7.0,0.0,,,,2.9,,,,,
2017-01-23,-4.8,-2.7,-9.4,3.5,1.6,,,,3.9,,,,,
2017-01-24,-10.0,-4.1,-19.8,0.5,3.6,,,,2.9,,,,,
2017-01-25,-6.5,-1.6,-11.3,2.0,3.8,,,,2.0,,,,,
2017-01-26,-2.9,1.3,-9.5,0.0,6.4,,,,2.2,,,,,
2017-01-27,0.3,5.1,-5.9,4.5,0.2,,,,5.1,,,,,
2017-01-28,-4.2,-2.0,-5.8,1.0,0.0,,,,5.0,,,,,
2017-01-29,-2.5,-0.5,-4.5,0.0,7.0,,,,1.9,,,,,
2017-01-30,-3.5,-1.5,-6.5,0.0,0.1,,,,3.2,,,,,
2017-01-31,-5.3,-1.7,-10.9,5.5,4.0,,,,2.5,,,,,
2017-02-01,-4.4,1.0,-8.2,3.5,2.8,,,,3.6,,,,,
2017-02-02,-7.5,-6.2,-8.7,0.5,0.1,,,,6.6,,,,,
2017-02-03,-4.2,-1.2,-7.4,0.5,1.0,,,,4.0,,,,,
2017-02-04,-0.5,1.9,-5.5,0.0,0.6,,,,3.6,,,,,
2017-02-05,-1.8,1.8,-8.5,0.0,8.8,,,,1.8,,,,,
2017-02-06,-1.1,2.5,-4.8,0.0,0.0,,,,2.3,,,,,
2017-02-07,-2.8,-1.4,-4.2,1.5,0.6,,,,5.5,,,,,
2017-02-08,-1.3,-0.2,-3.5,1.0,0.0,,,,4.3,,,,,
2017-02-09,-2.9,2.4,-9.9,0.0,6.0,,,,1.3,,,,,
2017-02-10,-2.1,1.7,-6.8,0.0,3.2,,,,1.7,,,,,
2017-02-11,-2.2,1.2,-8.4,0.0,1.7,,,,2.4,,,,,
2017-02-12,1.0,1.9,-0.1,0.5,0.0,,,,3.9,,,,,
2017-02-13,1.1,2.2,-0.2,0.0,0.0,,,,3.7,,,,,
2017-02-14,-0.1,1.2,-1.2,4.0,0.1,,,,2.5,,,,,
2017-02-15,-1.1,3.1,-6.8,0.0,3.3,,,,1.8,,,,,
2017-02-16,2.4,9.2,-7.1,0.0,2.7,,,,3.5,,,,,
2017-02-17,0.6,9.2,-4.8,2.0,0.0,,,,4.5,,,,,
2017-02-18,-6.1,-3.7,-8.2,0.5,5.3,,,,4.9,,,,,
2017-02-19,-5.6,-1.9,-11.4,2.0,3.8,,,,3.3,,,,,
2017-02-20,-4.9,-1.8,-9.9,1.5,0.8,,,,3.0,,,,,
2017-02-21,-4.1,-2.2,-5.7,0.0,1.4,,,,7.6,,,,,
2017-02-22,-2.8,0.3,-8.8,0.0,4.9,,,,1.8,,,,,
2017-02-23,0.5,3.6,-3.9,3.0,1.6,,,,4.4,,,,,
2017-02-24,-2.1,0.3,-7.5,3.0,2.1,,,,5.6,,,,,
2017-02-25,-2.5,1.9,-8.6,9.0,3.7,,,,1.8,,,,,
2017-02-26,-4.9,-2.4,-8.0,1.0,1.9,,,,3.3,,,,,
2017-02-27,-6.8,-0.5,-12.1,0.5,7.9,,,,1.3,,,,,
2017-02-28,-2.5,3.9,-12.3,0.0,3.5,,,,1.9,,,,,
2017-03-01,3.2,7.4,-1.5,0.0,3.8,,,,3.1,,,,,
2017-03-02,4.2,7.7,1.4,0.0,6.0,,,,3.4,,,,,
2017-03-03,0.1,3.8,-3.4,0.0,0.3,,,,6.5,,,,,
2017-03-04,-2.4,0.0,-4.3,0.0,3.7,,,,4.2,,,,,
2017-03-05,-1.5,0.7,-4.1,0.0,8.8,,,,4.7,,,,,
2017-03-06,-1.8,-0.2,-6.3,0.0,8.5,,,,1.7,,,,,
2017-03-07,-1.4,1.6,-2.7,3.0,6.1,,,,3.4,,,,,
2017-03-08,-1.2,2.1,-7.3,0.0,6.2,,,,2.3,,,,,
2017-03-09,-0.3,2.6,-3.5,0.0,4.0,,,,1.7,,,,,
2017-03-10,-0.3,1.2,-3.2,4.5,0.1,,,,2.7,,,,,
2017-03-11,0.2,3.3,-5.2,4.5,7.7,,,,1.8,,,,,
2017-03-12,-1.9,3.1,-7.4,0.0,11.1,,,,1.3,,,,,
2017-03-13,-1.0,4.7,-6.6,0.0,10.4,,,,2.0,,,,,
2017-03-14,0.4,5.3,-4.5,0.0,6.1,,,,3.7,,,,,
2017-03-15,0.2,3.4,-5.7,0.0,6.7,,,,3.5,,,,,
2017-03-16,2.2,3.1,0.7,1.0,1.2,,,,6.0,,,,,
2017-03-17,2.5,3.9,1.0,0.0,6.5,,,,4.7,,,,,
2017-03-18,2.6,4.4,1.0,0.0,9.6,,,,4.3,,,,,
2017-03-19,3.3,5.0,2.1,0.0,9.4,,,,5.0,,,,,
2017-03-20,3.6,6.8,-1.3,0.0,11.2,,,,2.5,,,,,
2017-03-21,3.0,5.8,-1.7,0.0,0.0,,,,4.2,,,,,
2017-03-22,2.4,4.3,0.2,0.0,1.6,,,,3.9,,,,,
2017-03-23,0.2,2.8,-1.4,13.5,2.3,,,,4.9,,,,,
2017-03-24,0.4,3.0,-1.7,8.0,1.9,,,,4.1,,,,,
2017-03-25,1.4,4.2,-2.9,0.5,7.3,,,,3.5,,,,,
2017-03-26,1.1,7.1,-5.0,0.0,10.2,,,,1.2,,,,,
2017-03-27,1.7,8.4,-4.6,0.0,10.7,,,,1.5,,,,,
2017-03-28,1.3,6.7,-3.3,0.0,5.5,,,,1.2,,,,,
2017-03-29,3.0,8.9,-3.8,0.0,9.7,,,,1.9,,,,,
2017-03-30,1.6,4.7,-1.2,11.0,0.1,,,,2.5,,,,,
2017-03-31,1.7,3.5,-2.2,0.0,10.8,,,,3.5,,,,,
2017-04-01,1.0,6.9,-4.8,0.0,9.9,,,,1.0,,,,,
2017-04-02,2.8,8.9,-4.0,0.0,8.1,,,,1.5,,,,,
2017-04-03,4.4,11.3,-2.3,0.0,11.0,,,,1.1,,,,,
2017-04-04,4.4,7.9,-0.3,0.0,6.4,,,,1.2,,,,,
2017-04-05,8.5,16.5,0.4,0.0,11.8,,,,2.9,,,,,
2017-04-06,11.2,18.0,4.0,0.0,3.3,,,,2.6,,,,,
2017-04-07,7.0,10.5,-0.4,1.5,6.7,,,,3.4,,,,,
2017-04-08,5.9,8.6,0.9,0.0,0.0,,,,5.8,,,,,
2017-04-09,6.4,9.7,3.8,0.0,8.0,,,,4.1,,,,,
2017-04-10,5.5,8.7,0.3,0.0,12.0,,,,3.6,,,,,
2017-04-11,6.9,12.8,0.3,0.0,7.0,,,,6.5,,,,,
2017-04-12,3.4,6.0,1.4,5.5,3.4,,,,5.1,,,,,
2017-04-13,2.3,5.4,-1.5,1.5,1.4,,,,5.5,,,,,
2017-04-14,11.2,18.9,0.4,0.0,11.4,,,,2.9,,,,,
2017-04-15,14.7,18.3,10.5,0.0,9.8,,,,3.3,,,,,
2017-04-16,10.8,16.1,5.5,0.0,9.0,,,,3.6,,,,,
2017-04-17,7.9,12.5,-0.1,0.0,11.0,,,,2.2,,,,,
2017-04-18,7.5,10.6,2.0,26.5,1.3,,,,7.4,,,,,
2017-04-19,5.8,8.3,2.8,3.5,0.7,,,,4.1,,,,,
2017-04-20,4.4,7.6,1.7,0.0,2.1,,,,5.4,,,,,
2017-04-21,6.3,12.7,2.3,1.0,9.9,,,,1.5,,,,,
2017-04-22,4.7,8.4,2.8,6.5,0.4,,,,3.5,,,,,
2017-04-23,5.2,8.8,0.5,0.5,9.5,,,,3.2,,,,,
2017-04-24,8.1,17.5,-1.3,0.0,12.1,,,,2.2,,,,,
2017-04-25,12.3,21.9,5.9,5.5,5.5,,,,4.4,,,,,
2017-04-26,8.9,16.2,2.8,0.0,8.0,,,,1.7,,,,,
2017-04-27,8.2,14.2,1.9,0.5,4.5,,,,2.4,,,,,
2017-04-28,9.6,14.2,4.1,0.0,7.0,,,,2.7,,,,,
2017-04-29,9.3,13.9,5.0,0.0,10.9,,,,2.4,,,,,
2017-04-30,10.7,17.4,4.3,1.5,2.1,,,,4.0,,,,,
2017-05-01,8.9,12.5,6.7,1.5,6.4,,,,4.0,,,,,
2017-05-02,8.5,11.5,5.1,0.5,9.6,,,,3.3,,,,,
2017-05-03,13.3,22.9,4.3,0.0,11.4,,,,2.3,,,,,
2017-05-04,14.9,26.5,3.6,0.0,13.3,,,,1.4,,,,,
2017-05-05,14.2,24.7,5.0,0.0,6.5,,,,1.5,,,,,
2017-05-06,12.8,22.4,5.1,0.0,2.7,,,,3.2,,,,,
2017-05-07,13.0,17.4,7.2,0.0,10.0,,,,3.5,,,,,
2017-05-08,8.6,13.0,3.5,2.0,5.8,,,,3.4,,,,,
2017-05-09,10.2,17.0,2.4,0.0,13.3,,,,1.8,,,,,
2017-05-10,13.7,20.5,5.4,0.0,6.8,,,,5.4,,,,,
2017-05-11,12.8,16.4,11.0,4.0,0.0,,,,2.2,,,,,
2017-05-12,13.0,18.2,10.0,0.5,4.6,,,,1.7,,,,,
2017-05-13,12.5,16.8,9.3,0.0,4.1,,,,6.3,,,,,
2017-05-14,10.4,13.4,7.7,0.0,0.1,,,,6.7,,,,,
2017-05-15,11.3,16.0,8.3,0.0,4.5,,,,7.0,,,,,
2017-05-16,11.3,14.3,8.0,3.5,0.0,,,,2.9,,,,,
2017-05-17,12.5,19.2,7.2,0.0,13.2,,,,1.3,,,,,
2017-05-18,17.1,26.1,8.0,0.0,14.0,,,,2.4,,,,,
2017-05-19,18.4,26.9,7.2,0.0,13.6,,,,2.1,,,,,
2017-05-20,15.4,24.2,8.4,0.0,12.8,,,,2.0,,,,,
2017-05-21,14.2,22.2,7.9,0.0,6.8,,,,1.5,,,,,
2017-05-22,13.1,16.5,10.8,0.0,0.0,,,,1.5,,,,,
2017-05-23,15.0,18.9,11.5,0.5,0.2,,,,3.8,,,,,
2017-05-24,12.5,16.4,10.3,0.5,0.5,,,,1.2,,,,,
2017-05-25,13.3,18.2,8.0,0.0,4.6,,,,1.8,,,,,
2017-05-26,13.9,19.8,6.0,0.0,9.6,,,,1.4,,,,,
2017-05-27,13.5,17.3,10.5,32.5,0.0,,,,1.7,,,,,
2017-05-28,12.6,16.5,10.1,5.0,0.8,,,,1.6,,,,,
2017-05-29,16.3,25.0,9.0,0.0,10.5,,,,1.8,,,,,
2017-05-30,17.4,26.1,12.7,0.0,11.6,,,,1.4,,,,,
2017-05-31,15.3,20.7,10.2,0.0,8.1,,,,1.4,,,,,
